3,1.132,1.143,1.178,1.113,1.129,1.170,1.036,1.047,1.100,1.275,1.311,1.405,1.277,1.323,1.408,1.320,1.366,1.452,1.157
4,1.136,1.143,1.167,1.122,1.130,1.167,1.028,1.042,1.066,1.258,1.281,1.353,1.276,1.295,1.359,1.326,1.340,1.422,1.139
5,1.134,1.149,1.179,1.123,1.142,1.177,1.026,1.043,1.053,1.266,1.309,1.342,1.294,1.332,1.353,1.328,1.368,1.398,1.120

berlins_win_score,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,0.000,0.000,1.694,0.000,0.000,1.694,30.500,23.994,22.744,0.910,0.244,0.610,0.910,0.244,0.610,0.077,1.277,0.244,2.250
2,0.000,0.000,1.417,0.000,0.000,1.417,6.750,3.500,7.750,0.000,0.167,0.333,0.000,0.167,0.333,0.000,0.000,0.167,0.000
3,0.000,0.000,0.277,0.000,0.000,0.277,7.083,7.660,5.160,0.077,0.077,0.277,0.077,0.077,0.277,0.077,0.277,0.077,0.250
4,0.000,0.000,0.000,0.000,0.000,0.000,8.833,6.833,4.333,0.500,0.000,0.000,0.500,0.000,0.000,0.000,1.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,7.833,6.000,5.500,0.333,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,2.000

felixs_apx_ratio,felix1,felix2,felix3,felix4,felix5
all,1.282,1.069,1.173,nan,nan
2,1.198,1.045,1.361,nan,nan
3,1.305,1.050,1.139,nan,nan
4,1.316,1.079,1.103,nan,nan
5,1.311,1.101,1.089,nan,nan

felixs_win_score,felix1,felix2,felix3,felix4,felix5
all,16.500,41.833,24.833,1.000,3.833
2,7.500,14.500,0.000,0.000,0.000
3,3.000,12.000,7.000,0.000,0.000
4,3.000,8.833,9.833,0.000,0.333
5,3.000,6.500,8.000,1.000,3.500

progs_apx_ratio,random,deg1,deg2,deg3,deg4,deg5,bywreach1,bywreach2,bywreach3,bywreach4,bywreach5,bysreach1,bysreach2,bysreach3,bysreach4,bysreach5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,tw,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,55.719,1.964,12.042,18.673,35.697,43.982,1.713,1.371,1.301,1.271,1.587,1.668,1.227,1.179,1.194,1.210,1.367,2.889,1.968,2.881,2.504,nan,2.146,1.940,1.804,1.493,1.610,nan,nan,1.935,1.965,2.002,1.911,1.944,1.996,1.777,1.806,1.855,2.186,2.249,2.357,2.212,2.276,2.366,2.279,2.336,2.438,1.973
2,45.887,1.543,15.248,27.474,51.167,52.128,1.448,1.075,1.354,1.457,1.662,1.414,1.202,1.283,1.400,1.431,1.400,1.986,1.875,2.294,2.242,nan,2.773,2.453,1.490,1.304,1.696,nan,nan,1.801,1.850,1.830,1.782,1.823,1.824,1.706,1.738,1.754,2.142,2.188,2.234,2.155,2.207,2.234,2.180,2.218,2.252,1.941
3,56.323,1.930,12.510,18.583,36.164,48.512,1.670,1.356,1.084,1.260,1.767,1.680,1.201,1.185,1.197,1.246,1.356,3.023,1.936,2.720,2.356,nan,2.452,2.111,1.780,1.421,1.528,nan,nan,1.956,1.972,2.071,1.926,1.948,2.057,1.796,1.813,1.934,2.200,2.265,2.447,2.206,2.287,2.452,2.279,2.360,2.535,1.998
4,59.435,2.144,10.752,15.126,29.238,39.733,1.831,1.492,1.316,1.097,1.574,1.799,1.257,1.147,1.117,1.122,1.382,3.159,2.010,3.433,2.827,nan,1.862,1.734,1.946,1.581,1.591,nan,nan,2.017,2.036,2.079,1.992,2.016,2.078,1.827,1.858,1.907,2.231,2.278,2.419,2.264,2.302,2.428,2.360,2.389,2.537,2.021
5,61.230,2.240,9.660,13.509,26.217,35.555,1.905,1.562,1.452,1.270,1.345,1.781,1.248,1.102,1.063,1.042,1.329,3.390,2.052,3.076,2.592,nan,1.495,1.463,2.001,1.666,1.625,nan,nan,1.964,2.000,2.026,1.946,1.988,2.025,1.777,1.813,1.825,2.172,2.264,2.330,2.225,2.306,2.351,2.299,2.380,2.429,1.934

progs_win_score,random,deg1,deg2,deg3,deg4,deg5,bywreach1,bywreach2,bywreach3,bywreach4,bywreach5,bysreach1,bysreach2,bysreach3,bysreach4,bysreach5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,tw,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
all,0.000,0.062,0.000,0.000,0.000,0.000,0.610,13.793,12.043,11.000,9.167,0.667,7.069,5.203,8.786,11.786,0.783,0.210,0.000,0.000,0.000,0.000,1.016,0.816,0.106,0.250,0.000,0.000,0.000,0.000,0.000,0.106,0.000,0.000,0.106,1.093,0.410,1.003,0.710,0.043,0.106,0.710,0.043,0.106,0.043,0.043,0.106,0.000
2,0.000,0.062,0.000,0.000,0.000,0.000,0.174,13.750,0.000,0.000,0.000,0.174,2.933,1.433,0.683,0.683,0.000,0.000,0.000,0.000,0.000,0.000,0.683,0.483,0.062,0.250,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.062,0.000,0.000,0.316,0.000,0.000,0.062,0.000,0.000,0.062,0.000,0.000,0.062,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.043,12.043,0.000,0.000,0.043,2.270,1.936,3.270,1.270,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.043,0.143,0.043,0.186,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,11.000,0.000,0.250,0.417,0.583,4.083,3.083,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417,0.167,0.333,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.167,0.200,1.450,1.250,0.750,6.750,0.367,0.167,0.000,0.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.533,0.200,0.167,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000
