test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
planar8500,4,21,0:00.09 ,-1,TIMEOUT,25,0:00.20 ,21,0:00.78 ,22,0:00.15 ,22,0:00.44 ,46,0:03.27 
polblogs,4,386,0:00.04 ,451,0:22.50 ,348,0:06.00 ,483,0:00.09 ,340,0:00.19 ,301,0:00.47 ,540,0:14.20 
sb-12-0,4,381,0:00.06 ,-1,TIMEOUT,-1,TIMEOUT,699,0:00.13 ,269,0:00.58 ,347,0:00.42 ,-1,TIMEOUT
sb-12-1,4,377,0:00.10 ,-1,TIMEOUT,-1,TIMEOUT,669,0:00.09 ,268,0:00.61 ,359,0:00.43 ,-1,TIMEOUT
as20000102,5,111,0:00.08 ,-1,TIMEOUT,101,0:00.54 ,120,0:00.45 ,82,0:00.22 ,74,0:00.26 ,193,0:08.54 
cl-12-0,5,691,0:00.12 ,-1,TIMEOUT,865,0:47.48 ,1219,0:00.16 ,574,0:01.07 ,595,0:00.79 ,-1,TIMEOUT
cl-12-1,5,735,0:00.06 ,-1,TIMEOUT,878,0:51.00 ,1246,0:00.10 ,581,0:01.17 ,600,0:00.87 ,-1,TIMEOUT
clh-12-0,5,507,0:00.11 ,-1,TIMEOUT,670,0:21.70 ,822,0:00.12 ,401,0:00.71 ,425,0:00.49 ,607,0:47.56 
clh-12-1,5,495,0:00.04 ,-1,TIMEOUT,655,0:18.20 ,754,0:00.13 ,387,0:00.74 ,405,0:00.45 ,526,0:45.23 
cond-mat,5,628,0:00.20 ,-1,RTE,836,0:54.96 ,792,0:03.19 ,337,0:02.47 ,373,0:01.96 ,-1,TIMEOUT
fvs001,5,147,0:00.07 ,-1,TIMEOUT,124,0:00.77 ,270,0:00.39 ,655,0:00.48 ,129,0:00.28 ,272,0:21.73 
fvs022,5,146,0:00.11 ,-1,TIMEOUT,135,0:01.51 ,165,0:01.50 ,122,0:00.57 ,100,0:00.89 ,291,0:32.19 
fvs040,5,131,0:00.11 ,-1,TIMEOUT,128,0:01.33 ,165,0:01.40 ,108,0:00.52 ,96,0:00.74 ,254,0:23.24 
fvs045,5,40,0:00.14 ,-1,TIMEOUT,27,0:05.00 ,53,0:00.98 ,31,0:00.37 ,27,0:01.27 ,41,0:13.20 
fvs074,5,140,0:00.13 ,-1,TIMEOUT,132,0:01.27 ,179,0:01.34 ,109,0:00.49 ,96,0:00.73 ,252,0:28.19 
fvs080,5,92,0:00.05 ,-1,TIMEOUT,93,0:00.38 ,105,0:00.37 ,76,0:00.16 ,64,0:00.29 ,147,0:07.73 
hep-th,5,296,0:00.11 ,-1,TIMEOUT,377,0:04.97 ,357,0:00.59 ,179,0:00.53 ,187,0:00.46 ,288,0:20.88 
p2p-Gnutella04,5,2511,0:00.19 ,-1,TIMEOUT,-1,TIMEOUT,3609,0:00.74 ,1734,0:11.96 ,1870,0:09.65 ,-1,TIMEOUT
planar10000,5,23,0:00.13 ,-1,TIMEOUT,26,0:00.21 ,23,0:01.02 ,34,0:00.25 ,22,0:00.67 ,45,0:05.17 
planar12000,5,22,0:00.10 ,-1,TIMEOUT,26,0:00.20 ,21,0:01.35 ,31,0:00.24 ,21,0:00.72 ,53,0:06.08 
planar15000,5,21,0:00.12 ,-1,TIMEOUT,23,0:00.20 ,21,0:01.94 ,24,0:00.22 ,20,0:01.13 ,47,0:06.64 
planar7002,5,23,0:00.12 ,-1,TIMEOUT,33,0:00.14 ,23,0:00.68 ,23,0:00.14 ,24,0:00.31 ,61,0:02.55 
planar8500,5,23,0:00.09 ,-1,TIMEOUT,29,0:00.20 ,23,0:00.78 ,37,0:00.16 ,24,0:00.43 ,68,0:04.40 
polblogs,5,418,0:00.04 ,453,0:22.50 ,349,0:06.00 ,504,0:00.09 ,366,0:00.21 ,310,0:00.70 ,515,0:23.25 
sb-12-0,5,837,0:00.06 ,-1,TIMEOUT,-1,TIMEOUT,1531,0:00.13 ,607,0:01.32 ,696,0:00.88 ,-1,TIMEOUT
sb-12-1,5,837,0:00.10 ,-1,TIMEOUT,-1,TIMEOUT,1428,0:00.09 ,609,0:01.35 ,682,0:00.83 ,-1,TIMEOUT
