test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/fvs001.txtg,3,20,215,640,3,0:00.06,0,33,33,0:04.83,0,78,78,0:04.23,0,91,91,0:00.06,0,91,91,0:00.04,0,102,102,0:00.05,0,116,116,0:00.42,0,120,120,3:15.78
big/fvs022.txtg,3,100,949,9122,410,0:02.45,1,409,402,0:12.29,1,484,407,0:09.61,0,581,581,0:04.04,0,581,581,0:01.61,0,587,587,0:02.00,0,663,663,0:35.41,-,-,-,TIMEOUT
big/fvs022.txtg,3,20,423,1973,95,0:00.18,1,87,84,0:09.09,0,71,71,0:06.29,0,259,259,0:00.25,0,259,259,0:00.14,0,268,268,0:00.15,0,280,280,0:05.32,-,-,-,TIMEOUT
big/fvs040.txtg,3,100,895,8765,399,0:04.49,1,403,394,0:10.16,1,474,402,0:08.39,0,577,577,0:03.29,0,577,577,0:01.47,0,580,580,0:01.68,0,668,668,0:30.53,-,-,-,TIMEOUT
big/fvs040.txtg,3,20,356,1437,20,0:00.19,1,86,79,0:07.93,1,112,81,0:06.11,0,258,258,0:00.20,0,258,258,0:00.12,0,271,271,0:00.12,0,282,282,0:04.75,-,-,-,TIMEOUT
big/fvs045.txtg,3,100,0,740,740,0:00.62,0,945,945,0:16.28,0,1265,1265,0:08.37,0,1690,1690,0:00.38,0,1690,1690,0:00.23,0,1652,1652,0:00.09,0,2485,2485,0:00.63,-,-,-,TIMEOUT
big/fvs045.txtg,3,20,0,502,502,0:00.15,0,509,509,0:02.43,0,867,867,0:01.55,0,950,950,0:00.14,0,950,950,0:00.09,0,958,958,0:00.06,0,1101,1101,0:00.19,0,1100,1100,8:09.49
big/fvs074.txtg,3,100,897,8707,408,0:01.92,1,409,400,0:12.38,1,490,409,0:08.92,0,571,571,0:03.62,0,571,571,0:01.45,0,576,576,0:01.81,0,649,649,0:30.50,-,-,-,TIMEOUT
big/fvs074.txtg,3,20,379,1470,18,0:00.12,1,90,84,0:09.19,0,85,85,0:07.41,0,241,241,0:00.22,0,241,241,0:00.12,0,251,251,0:00.13,0,260,260,0:04.75,-,-,-,TIMEOUT
big/fvs080.txtg,3,100,541,3848,78,0:00.98,1,240,233,0:03.25,1,296,239,0:02.44,0,342,342,0:00.78,0,342,342,0:00.37,0,344,344,0:00.38,0,394,394,0:05.68,-,-,-,TIMEOUT
big/fvs080.txtg,3,20,235,879,17,0:00.09,1,48,39,0:02.56,0,53,53,0:02.03,0,169,169,0:00.07,0,169,169,0:00.05,0,176,176,0:00.05,0,184,184,0:00.95,-,-,-,TIMEOUT
big/hep-th.txtg,3,100,0,761,761,0:00.15,0,732,732,0:02.88,0,975,975,0:03.22,0,1233,1233,0:00.25,0,1233,1233,0:00.11,0,1248,1248,0:00.06,0,1281,1281,0:01.00,-,-,-,TIMEOUT
big/hep-th.txtg,3,20,0,383,383,0:00.06,0,366,366,0:02.41,0,529,529,0:01.02,0,595,595,0:00.05,0,595,595,0:00.04,0,609,609,0:00.04,0,640,640,0:00.22,0,637,637,8:47.40
big/p2p-Gnutella04.txtg,3,100,3044,1819,3,0:01.02,7,2,2,1:41.61,0,467,467,1:24.13,0,944,944,0:00.39,0,944,944,0:00.24,0,962,962,0:00.15,0,969,969,0:16.15,-,-,-,TIMEOUT
big/p2p-Gnutella04.txtg,3,20,1241,469,4,0:00.19,0,2,2,1:24.14,0,256,256,0:46.49,0,390,390,0:00.11,0,390,390,0:00.08,0,415,415,0:00.08,0,434,434,0:01.88,-,-,-,TIMEOUT
big/planar10000.txtg,3,100,5,142,136,0:00.08,0,114,114,0:01.39,0,564,564,0:01.58,0,893,893,0:00.31,0,893,893,0:00.14,0,937,937,0:00.10,0,1106,1106,0:02.32,-,-,-,TIMEOUT
big/planar10000.txtg,3,20,0,78,78,0:00.05,0,64,64,0:01.35,0,315,315,0:01.11,0,455,455,0:00.07,0,455,455,0:00.06,0,467,467,0:00.05,0,505,505,0:00.45,-,-,-,TIMEOUT
big/planar12000.txtg,3,100,1356,2962,33,0:00.86,0,245,245,0:01.46,0,867,867,0:01.96,0,1411,1411,0:00.47,0,1411,1411,0:00.20,0,1445,1445,0:00.11,0,1659,1659,0:02.20,-,-,-,TIMEOUT
big/planar12000.txtg,3,20,0,161,161,0:00.06,0,139,139,0:00.91,0,438,438,0:00.91,0,649,649,0:00.11,0,649,649,0:00.06,0,665,665,0:00.05,0,711,711,0:00.42,-,-,-,TIMEOUT
big/planar15000.txtg,3,100,0,639,639,0:00.16,0,569,569,0:01.98,0,1432,1432,0:03.88,0,2095,2095,0:00.70,0,2095,2095,0:00.28,0,2113,2113,0:00.11,0,2409,2409,0:01.93,-,-,-,TIMEOUT
big/planar15000.txtg,3,20,0,308,308,0:00.07,0,277,277,0:01.12,0,742,742,0:01.09,0,943,943,0:00.14,0,943,943,0:00.08,0,962,962,0:00.05,0,1021,1021,0:00.39,-,-,-,TIMEOUT
big/planar7002.txtg,3,100,889,1103,5,0:00.12,0,21,21,0:01.59,0,187,187,0:01.37,0,300,300,0:00.14,0,300,300,0:00.08,0,339,339,0:00.08,0,423,423,0:02.61,-,-,-,TIMEOUT
big/planar7002.txtg,3,20,281,363,4,0:00.06,0,18,18,0:01.50,0,137,137,0:00.87,0,198,198,0:00.06,0,198,198,0:00.05,0,214,214,0:00.05,0,236,236,0:00.49,-,-,-,TIMEOUT
