test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_tree_shrink.forb,mix_tree_shrink.scat,mix_tree_shrink.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
football,4,0,1,1,0,1,1,59,12,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,4,0,18,18,0,35,35,0,22,22,0,42,42,0,42,42,0,48,48,0,56,56
fvs020,4,0,5,5,0,6,6,9,17,2,0,8,8,0,8,8,0,8,8,0,9,9
fvs033,4,0,29,29,0,38,38,0,18,18,0,21,21,0,21,21,0,25,25,0,43,43
fvs047,4,0,3,3,0,3,3,31,15,1,0,3,3,0,3,3,0,3,3,0,5,5
fvs051,4,12,2,1,12,2,1,24,5,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,4,9,2,1,9,2,1,81,13,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,4,0,3,3,0,3,3,34,12,1,0,4,4,0,4,4,0,4,4,0,6,6
fvs099,4,2,4,2,2,4,2,9,12,2,0,4,4,0,4,4,0,4,4,0,5,5
fvs100,4,0,5,5,0,5,5,15,8,1,0,5,5,0,5,5,0,7,7,0,12,12
hex,4,0,13,13,0,14,14,0,12,12,0,9,9,0,9,9,0,10,10,0,19,19
karate,4,2,6,5,2,6,5,10,19,5,2,7,6,2,6,6,2,7,5,6,15,6
lesmiserables,4,1,7,7,1,7,7,20,35,7,1,4,3,1,3,3,1,4,3,4,13,7
photoviz_dynamic,4,0,11,11,0,18,18,54,133,8,0,23,23,0,23,23,0,26,26,0,28,28
planar302,4,0,1,1,0,1,1,97,122,2,0,5,5,0,5,5,0,5,5,0,8,8
planar350,4,2,6,3,3,7,3,113,158,2,0,10,10,0,10,10,0,11,11,0,13,13
planar400,4,7,9,3,7,9,3,131,191,2,0,18,18,0,18,18,0,21,21,0,21,21
planar500,4,7,9,4,0,9,9,119,232,4,0,22,22,0,22,22,0,24,24,0,32,32
planar600,4,0,14,14,0,27,27,125,268,5,0,49,49,0,49,49,0,49,49,0,56,56
polbooks,4,0,2,2,0,2,2,45,34,1,0,2,2,0,2,2,0,2,2,0,2,2
word_adjacencies,4,10,3,1,6,3,1,48,42,2,0,3,3,0,3,3,0,3,3,0,3,3
bergen,5,3,5,2,3,5,2,23,22,2,0,1,1,0,1,1,0,1,1,0,1,1
dolphins,5,2,4,2,2,4,2,23,19,2,0,2,2,0,2,2,0,2,2,4,6,3
football,5,0,1,1,0,1,1,67,12,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,5,0,10,10,0,25,25,67,121,7,0,31,31,0,31,31,0,35,35,0,39,39
fvs020,5,0,4,4,0,5,5,6,14,3,0,5,5,0,5,5,0,6,6,0,7,7
fvs033,5,0,11,11,0,19,19,50,38,1,0,13,13,0,13,13,0,15,15,0,25,25
fvs047,5,0,3,3,0,3,3,34,15,1,0,2,2,0,2,2,0,2,2,0,3,3
fvs051,5,0,1,1,0,1,1,25,5,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,5,0,1,1,0,1,1,86,13,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,5,0,2,2,5,2,2,46,12,1,0,2,2,0,2,2,0,2,2,0,2,2
fvs099,5,2,4,2,2,4,2,9,12,2,0,2,2,0,2,2,0,2,2,0,3,3
fvs100,5,0,4,4,0,4,4,32,11,1,0,4,4,0,4,4,0,4,4,0,5,5
hex,5,0,9,9,0,11,11,2,9,7,0,9,9,0,9,9,0,10,10,0,14,14
karate,5,2,6,5,2,6,5,10,19,5,2,7,6,2,6,6,2,7,5,4,10,6
lesmiserables,5,1,7,7,1,7,7,20,35,7,1,2,2,1,2,2,1,2,2,4,13,7
photoviz_dynamic,5,0,9,9,0,12,12,66,158,9,0,19,19,0,19,19,0,20,20,0,21,21
planar302,5,0,1,1,0,1,1,97,122,2,0,3,3,0,3,3,0,3,3,0,5,5
planar350,5,6,4,2,6,4,2,112,158,2,0,5,5,0,5,5,0,6,6,0,6,6
planar400,5,6,6,2,6,6,2,131,195,2,0,11,11,0,11,11,0,12,12,0,13,13
planar500,5,1,5,3,1,10,3,133,249,4,0,13,13,0,13,13,0,15,15,0,19,19
planar600,5,0,12,12,0,18,18,142,284,5,0,36,36,0,36,36,0,36,36,0,38,38
polbooks,5,0,1,1,0,1,1,46,34,1,0,2,2,0,2,2,0,1,1,0,2,2
word_adjacencies,5,0,1,1,0,1,1,49,42,2,0,1,1,0,1,1,0,1,1,1,2,2
