test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
fvs002,3,15,0:00.00 ,15,0:00.30 ,11,0:00.00 ,11,0:00.01 ,9,0:00.00 ,10,0:00.02 ,10,0:00.24 
fvs020,3,9,0:00.00 ,8,0:00.08 ,6,0:00.00 ,8,0:00.00 ,7,0:00.00 ,7,0:00.00 ,9,0:00.15 
fvs033,3,17,0:00.00 ,15,0:03.87 ,13,0:00.24 ,19,0:00.01 ,13,0:00.02 ,14,0:00.08 ,17,0:00.36 
fvs047,3,24,0:00.00 ,19,0:00.11 ,15,0:00.01 ,23,0:00.00 ,19,0:00.00 ,17,0:00.00 ,24,0:00.19 
fvs051,3,45,0:00.01 ,36,0:00.09 ,31,0:00.02 ,44,0:00.01 ,40,0:00.00 ,32,0:00.00 ,44,0:00.19 
fvs066,3,98,0:00.01 ,74,0:00.18 ,76,0:00.06 ,102,0:00.00 ,72,0:00.00 ,77,0:00.04 ,116,0:00.43 
fvs097,3,24,0:00.00 ,27,0:00.11 ,23,0:00.03 ,27,0:00.00 ,23,0:00.00 ,22,0:00.00 ,26,0:00.17 
fvs099,3,9,0:00.00 ,10,0:00.09 ,10,0:00.00 ,9,0:00.00 ,8,0:00.00 ,9,0:00.00 ,11,0:00.14 
fvs100,3,25,0:00.00 ,27,0:00.26 ,23,0:00.01 ,29,0:00.00 ,25,0:00.01 ,23,0:00.01 ,29,0:00.19 
hex,3,25,0:00.00 ,24,0:00.72 ,26,0:00.04 ,28,0:00.00 ,19,0:00.01 ,21,0:00.03 ,22,0:00.26 
karate,3,9,0:00.00 ,8,0:00.09 ,10,0:00.00 ,10,0:00.00 ,9,0:00.00 ,9,0:00.00 ,16,0:00.12 
