test,rad,sortdeg1_wcol,sortdeg1_LS,td_wcol,td_LS,fill-in_wcol,fill-in_LS,berlin.sna_wcol,berlin.sna_LS,WReachR_wcol,WReachR_LS,SReachR_wcol,SReachR_LS,felixR_wcol,felixR_LS
fvs033,4,26,17,23,17,19,16,36,16,22,16,21,16,29,16
fvs047,4,33,20,26,19,22,19,34,19,26,19,23,20,39,21
fvs051,4,46,35,36,34,31,31,45,33,44,35,33,32,44,35
fvs066,4,116,90,74,74,81,81,125,92,97,94,80,80,113,93
fvs097,4,36,28,36,26,26,26,34,24,37,27,31,27,36,27
fvs099,4,10,9,10,10,11,9,10,9,10,9,9,9,10,10
fvs100,4,36,26,38,28,29,25,39,27,36,29,29,26,39,28
hex,4,39,26,34,27,28,26,39,26,29,27,27,26,38,27
karate,4,9,9,8,8,11,11,10,9,9,9,9,8,17,14
lesmiserables,4,18,18,20,20,28,28,20,20,18,18,20,20,33,26
photoviz_dynamic,4,25,22,38,33,21,21,36,29,26,26,26,22,33,26
planar302,4,15,15,28,26,21,20,15,15,15,15,15,15,33,33
planar350,4,15,15,25,24,23,23,15,15,18,18,15,15,24,24
planar400,4,16,15,35,29,20,20,16,15,14,14,15,15,23,22
planar500,4,13,13,25,24,18,17,15,14,15,14,14,13,26,24
planar600,4,13,13,23,22,15,15,13,13,16,16,13,13,21,20
polbooks,4,33,29,46,36,28,28,38,34,28,28,27,27,43,36
word_adjacencies,4,43,37,48,48,41,41,49,44,38,37,36,35,52,51
bergen,5,22,22,24,24,22,22,22,22,22,22,21,21,29,28
dolphins,5,26,20,26,24,22,22,31,22,24,22,21,21,33,23
football,5,95,80,87,75,63,63,99,74,87,80,62,61,110,77
fvs002,5,20,16,17,15,16,14,16,15,19,17,16,16,22,19
fvs020,5,12,9,10,10,9,9,11,9,11,10,9,8,10,8
fvs033,5,44,26,41,25,30,25,60,26,35,26,29,25,47,24
fvs047,5,40,26,36,27,25,25,46,27,29,26,26,23,47,25
fvs051,5,46,34,36,36,31,31,45,34,46,36,33,33,44,35
fvs066,5,119,103,74,74,81,81,129,103,111,99,81,81,118,101
fvs097,5,43,32,45,33,31,28,42,35,46,34,36,31,48,35
fvs099,5,10,9,10,10,11,10,10,9,10,9,9,9,11,9
fvs100,5,45,34,46,35,30,29,50,35,49,35,35,32,51,36
hex,5,56,34,53,34,38,32,54,35,40,35,40,36,57,35
karate,5,9,9,8,8,11,11,10,9,9,9,9,8,17,14
lesmiserables,5,18,18,20,20,28,26,20,20,18,18,23,23,34,33
photoviz_dynamic,5,30,25,39,37,23,23,43,34,29,29,25,24,43,38
planar302,5,15,15,29,28,24,23,15,15,15,15,16,15,36,35
planar350,5,17,17,25,24,26,26,16,16,18,17,17,17,33,31
planar400,5,17,17,38,37,24,23,16,16,17,17,17,17,32,32
planar500,5,14,14,27,26,20,19,16,15,18,18,16,15,33,31
planar600,5,14,14,23,23,18,18,15,15,15,15,15,14,28,28
polbooks,5,35,32,48,42,29,29,42,40,31,30,31,30,49,44
word_adjacencies,5,49,43,48,48,41,41,53,49,41,40,38,37,59,57
