test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
hex,3,25,0:00.00 ,24,0:00.73 ,26,0:00.02 ,28,0:00.01 ,22,0:00.25 
karate,3,9,0:00.00 ,8,0:00.07 ,10,0:00.00 ,10,0:00.00 ,16,0:00.16 
lesmiserables,3,18,0:00.01 ,20,0:00.10 ,26,0:00.00 ,19,0:00.00 ,30,0:00.17 
photoviz_dynamic,3,19,0:00.01 ,29,0:00.30 ,18,0:00.00 ,24,0:00.00 ,26,0:00.23 
planar302,3,13,0:00.02 ,23,0:00.26 ,16,0:00.00 ,13,0:00.01 ,25,0:00.21 
planar350,3,14,0:00.01 ,25,0:00.20 ,18,0:00.00 ,13,0:00.01 ,21,0:00.22 
planar400,3,14,0:00.01 ,28,0:00.45 ,15,0:00.00 ,14,0:00.01 ,24,0:00.21 
planar500,3,12,0:00.01 ,24,0:00.29 ,14,0:00.01 ,13,0:00.02 ,15,0:00.25 
planar600,3,12,0:00.00 ,20,0:00.61 ,12,0:00.00 ,11,0:00.03 ,14,0:00.25 
polbooks,3,29,0:00.01 ,41,0:00.08 ,25,0:00.00 ,28,0:00.00 ,32,0:00.20 
word_adjacencies,3,35,0:00.00 ,48,0:00.11 ,41,0:00.01 ,40,0:00.01 ,40,0:00.23 
bergen,4,21,0:00.00 ,24,0:00.08 ,22,0:00.00 ,22,0:00.00 ,27,0:00.18 
dolphins,4,25,0:00.00 ,24,0:00.08 ,21,0:00.00 ,29,0:00.00 ,32,0:00.15 
football,4,95,0:00.00 ,87,0:00.13 ,63,0:00.03 ,96,0:00.02 ,106,0:00.39 
fvs002,4,17,0:00.00 ,17,0:00.31 ,13,0:00.00 ,14,0:00.00 ,18,0:00.24 
fvs020,4,11,0:00.00 ,9,0:00.09 ,9,0:00.00 ,9,0:00.00 ,11,0:00.15 
fvs033,4,26,0:00.00 ,23,0:04.20 ,19,0:00.22 ,36,0:00.00 ,29,0:00.41 
fvs047,4,33,0:00.00 ,26,0:00.12 ,22,0:00.00 ,34,0:00.00 ,39,0:00.22 
fvs051,4,46,0:00.00 ,36,0:00.10 ,31,0:00.00 ,45,0:00.01 ,44,0:00.18 
fvs066,4,116,0:00.00 ,74,0:00.16 ,81,0:00.04 ,125,0:00.01 ,113,0:00.55 
