test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
as20000102,5,111,0:00.10 ,-1,TIMEOUT,101,0:00.81 ,120,0:00.53 ,193,0:13.66 
cl-12-0,5,691,0:00.09 ,-1,TIMEOUT,865,0:58.12 ,1219,0:00.11 ,-1,TIMEOUT
cl-12-1,5,735,0:00.08 ,-1,TIMEOUT,878,0:57.87 ,1246,0:00.20 ,-1,TIMEOUT
clh-12-0,5,507,0:00.14 ,-1,TIMEOUT,670,0:26.64 ,822,0:00.15 ,607,0:59.03 
clh-12-1,5,495,0:00.10 ,-1,TIMEOUT,655,0:25.66 ,754,0:00.17 ,526,0:47.61 
cond-mat,5,628,0:00.33 ,-1,TIMEOUT,-1,TIMEOUT,792,0:03.25 ,-1,TIMEOUT
fvs001,5,147,0:00.12 ,-1,RTE,124,0:01.19 ,270,0:00.39 ,272,0:22.39 
fvs022,5,146,0:00.19 ,-1,TIMEOUT,135,0:01.94 ,165,0:01.81 ,291,0:27.12 
fvs040,5,131,0:00.12 ,-1,TIMEOUT,128,0:01.83 ,165,0:01.64 ,254,0:24.49 
fvs045,5,40,0:00.16 ,-1,TIMEOUT,27,0:07.28 ,53,0:01.17 ,41,0:10.83 
fvs074,5,140,0:00.16 ,-1,TIMEOUT,132,0:02.05 ,179,0:01.46 ,252,0:24.51 
fvs080,5,92,0:00.09 ,-1,TIMEOUT,93,0:00.56 ,105,0:00.38 ,147,0:09.99 
hep-th,5,296,0:00.13 ,-1,RTE,377,0:06.96 ,357,0:00.69 ,288,0:24.84 
p2p-Gnutella04,5,2511,0:00.31 ,-1,TIMEOUT,-1,TIMEOUT,3609,0:00.80 ,-1,TIMEOUT
planar10000,5,23,0:00.16 ,-1,TIMEOUT,26,0:00.30 ,23,0:00.98 ,45,0:05.46 
planar12000,5,22,0:00.18 ,-1,TIMEOUT,26,0:00.38 ,21,0:01.29 ,53,0:06.20 
planar15000,5,21,0:00.20 ,-1,RTE,23,0:00.34 ,21,0:02.02 ,47,0:06.59 
planar7002,5,23,0:00.17 ,-1,TIMEOUT,33,0:00.22 ,23,0:00.78 ,61,0:02.85 
planar8500,5,23,0:00.17 ,-1,TIMEOUT,29,0:00.29 ,23,0:00.97 ,68,0:05.25 
polblogs,5,418,0:00.06 ,453,0:26.42 ,349,0:08.46 ,504,0:00.09 ,515,0:20.37 
sb-12-0,5,837,0:00.13 ,-1,TIMEOUT,-1,TIMEOUT,1531,0:00.11 ,-1,TIMEOUT
sb-12-1,5,837,0:00.11 ,-1,TIMEOUT,-1,TIMEOUT,1428,0:00.09 ,-1,TIMEOUT
