test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,felixR_wcol,felixR_time
power,4,31,0:00.06 ,-1,TIMEOUT,22,0:00.12 ,24,0:00.32 ,25,0:01.90 
sb-10-0,4,201,0:00.01 ,405,0:24.40 ,273,0:04.39 ,333,0:00.03 ,251,0:12.29 
sb-10-1,4,208,0:00.02 ,449,0:19.22 ,284,0:04.43 ,346,0:00.04 ,266,0:12.73 
sb-10-2,4,208,0:00.02 ,426,0:21.84 ,304,0:04.51 ,338,0:00.04 ,261,0:13.80 
sp_data_school_day_2,4,181,0:00.01 ,208,0:00.42 ,153,0:00.33 ,188,0:00.03 ,226,0:01.01 
yeast,4,250,0:00.03 ,-1,TIMEOUT,282,0:02.39 ,350,0:00.13 ,359,0:11.73 
airlines,5,62,0:00.00 ,65,0:00.37 ,54,0:00.06 ,72,0:00.00 ,91,0:00.46 
celegans,5,139,0:00.01 ,153,0:00.59 ,110,0:00.11 ,149,0:00.02 ,188,0:01.12 
cl-10-0,5,228,0:00.01 ,309,0:05.12 ,229,0:01.22 ,356,0:00.06 ,236,0:07.08 
cl-10-1,5,234,0:00.01 ,320,0:07.52 ,227,0:01.23 ,355,0:00.02 ,272,0:06.91 
cl-10-2,5,237,0:00.01 ,301,0:10.60 ,234,0:01.35 ,357,0:00.03 ,246,0:07.39 
clh-10-0,5,167,0:00.01 ,254,0:03.16 ,174,0:00.60 ,246,0:00.04 ,231,0:05.19 
clh-10-1,5,171,0:00.01 ,231,0:02.99 ,167,0:00.57 ,250,0:00.03 ,205,0:03.23 
clh-10-2,5,172,0:00.02 ,255,0:04.03 ,172,0:00.57 ,234,0:00.03 ,197,0:05.15 
codeminer,5,31,0:00.00 ,38,0:02.17 ,17,0:00.03 ,26,0:00.03 ,30,0:00.40 
cpan-authors,5,46,0:00.00 ,50,0:09.73 ,45,0:00.10 ,58,0:00.04 ,72,0:00.93 
cpan-distributions,5,51,0:00.05 ,-1,TIMEOUT,52,0:00.11 ,74,0:00.16 ,79,0:03.50 
diseasome,5,27,0:00.01 ,33,0:06.16 ,31,0:00.03 ,27,0:00.08 ,38,0:00.86 
fvs004,5,98,0:00.00 ,103,0:00.36 ,83,0:00.17 ,128,0:00.02 ,133,0:01.06 
fvs008,5,58,0:00.01 ,-1,TIMEOUT,52,0:00.10 ,70,0:00.11 ,59,0:01.58 
fvs014,5,66,0:00.03 ,-1,TIMEOUT,66,0:00.56 ,352,0:00.12 ,163,0:06.35 
fvs021,5,57,0:00.01 ,-1,TIMEOUT,52,0:00.08 ,75,0:00.06 ,59,0:01.31 
fvs023,5,29,0:00.00 ,37,0:01.35 ,24,0:00.02 ,38,0:00.00 ,59,0:00.50 
fvs052,5,25,0:00.02 ,34,0:20.77 ,18,0:00.04 ,23,0:00.02 ,22,0:00.80 
fvs056,5,27,0:00.02 ,33,0:12.07 ,21,0:00.05 ,27,0:00.05 ,27,0:00.73 
fvs078,5,41,0:00.04 ,-1,TIMEOUT,27,0:00.16 ,29,0:00.11 ,23,0:01.52 
netscience,5,21,0:00.01 ,-1,TIMEOUT,25,0:00.02 ,20,0:00.04 ,34,0:00.51 
planar1302,5,22,0:00.02 ,36,0:04.19 ,31,0:00.06 ,21,0:00.03 ,50,0:00.59 
planar1500,5,20,0:00.01 ,38,0:05.83 ,31,0:00.04 ,20,0:00.04 ,42,0:01.01 
planar2000,5,20,0:00.04 ,41,0:06.59 ,23,0:00.06 ,20,0:00.05 ,32,0:01.18 
planar2500,5,17,0:00.04 ,38,0:15.08 ,24,0:00.06 ,20,0:00.08 ,44,0:01.27 
planar3000,5,15,0:00.02 ,48,0:35.50 ,21,0:00.07 ,17,0:00.11 ,36,0:01.49 
power,5,42,0:00.06 ,-1,TIMEOUT,25,0:00.12 ,31,0:00.32 ,35,0:02.23 
sb-10-0,5,322,0:00.01 ,509,0:24.40 ,330,0:04.39 ,483,0:00.03 ,452,0:17.53 
sb-10-1,5,327,0:00.02 ,548,0:19.22 ,345,0:04.43 ,510,0:00.04 ,505,0:18.57 
sb-10-2,5,346,0:00.02 ,543,0:21.84 ,333,0:04.51 ,488,0:00.04 ,459,0:18.25 
sp_data_school_day_2,5,190,0:00.01 ,208,0:00.42 ,153,0:00.33 ,190,0:00.03 ,227,0:01.67 
yeast,5,297,0:00.03 ,-1,TIMEOUT,291,0:02.39 ,414,0:00.13 ,489,0:14.67 
