test,rad,sortdeg1.lsR
pds10.mtx,4,231
piston.mtx,4,124
psse1.mtx,4,369
rail_20209.mtx,4,33
rajat10.mtx,4,22
rdist2.mtx,4,821
rdist3a.mtx,4,637
rel7.mtx,4,669
rosen10.mtx,4,31
scrs8-2r.mtx,4,49
se.mtx,4,21
stokes64.mtx,4,96
stokes64s.mtx,4,96
subelj_jdk.edges,4,233
subelj_jung-j.edges,4,224
ted_B.mtx,4,57
ted_B_unscaled.mtx,4,57
testbig.mtx,4,79
utm5940.mtx,4,177
aa4.mtx,5,377
aa5.mtx,5,688
aa6.mtx,5,547
abtaha1.mtx,5,210
aft01.mtx,5,154
aft02.mtx,5,156
air02.mtx,5,50
air05.mtx,5,377
as-22july06.mtx,5,175
as-caida20071105.edges,5,188
as-caida.mtx,5,199
ASIC_680ks.mtx,5,51
aug3dcqp.mtx,5,32
bauru5727.mtx,5,47
bayer02.mtx,5,1167
bayer03.mtx,5,1435
bcsstk15.mtx,5,495
bcsstk18.mtx,5,318
bibd_49_3.mtx,5,1147
bloweybl.mtx,5,9
bodyy4.mtx,5,62
bodyy5.mtx,5,56
bodyy6.mtx,5,58
c-39.mtx,5,547
c-42.mtx,5,154
c-43.mtx,5,172
c-46.mtx,5,141
c-49.mtx,5,390
cage10.mtx,5,1394
ca-opsahl-collaboration.edges,5,620
car4.mtx,5,
cca.mtx,5,36
ch7-6-b3.mtx,5,2954
ch7-9-b2.mtx,5,1408
ch8-8-b2.mtx,5,1475
Chem97Zt.mtx,5,212
co5.mtx,5,249
comsol.mtx,5,601
conf5_0-4x4-10.mtx,5,2129
conf5_0-4x4-14.mtx,5,2129
conf5_0-4x4-18.mtx,5,2129
conf5_0-4x4-22.mtx,5,2137
conf5_0-4x4-26.mtx,5,2128
conf6_0-4x4-20.mtx,5,2129
conf6_0-4x4-30.mtx,5,2128
cq5.mtx,5,238
crystm01.mtx,5,291
cti.mtx,5,141
cvxqp3.mtx,5,336
dblp-cite.edges,5,1229
delaunay_n14.mtx,5,40
edit-enwikibooks.edges,5,734
edit-frwikibooks.edges,5,376
edit-frwikinews.edges,5,201
epb1.mtx,5,60
ex31.mtx,5,330
ex3sta1.mtx,5,3085
ex8.mtx,5,417
ex9.mtx,5,256
FA.mtx,5,2003
fd18.mtx,5,1543
fe_sphere.mtx,5,56
fs-FA.mtx,5,2001
gen1.mtx,5,762
gen.mtx,5,762
hvdc1.mtx,5,43
jan99jac040.mtx,5,553
jan99jac040sc.mtx,5,553
juba40k.mtx,5,49
l30.mtx,5,398
lasagne-spanishbook.edges,5,389
lp22.mtx,5,1334
lp_fit2p.mtx,5,62
lpi_bgindy.mtx,5,412
lp_ken_11.mtx,5,242
lp_pds_06.mtx,5,719
